id,db,found_in,title,abstract,authors,year,doi,doi_normalized,source,doc_type,keywords,language
SCOPUS_946,Scopus,Scopus,"A corpus study on phrasal verb use in the academic writing of published authors, native English-speaking students, and Taiwanese EFL learners","This study explored Taiwanese EFL learners' use of phrasal verbs (PVs) in comparison with published authors' and native Englishspeaking students' in the field of applied linguistics. A corpus of Taiwanese graduate students' master's theses, a corpus of published journal articles, and a corpus of native English-speaking graduate students' master's theses were compiled and analyzed to reveal these writers' PV uses. The findings showed that the Taiwanese EFL learners used PVs significantly more often than the other two groups. However, the learners also used a more restricted set of PVs in their writing. This study also identified eight PVs commonly used by these writers. Among these common PVs, two of them (i.e., point out and come up) were overused by the learners, while two (i.e., carry out and take on) were underused. Learners' overuse of point out might result from L1 influences, and their overuse of come up was caused by miscollocating this PV with inappropriate noun phrases. The underuse of carry out might result from its non-literal meaning and learners' over-reliance on using its synonymous one-word verb (i.e., conduct), and the underuse of take on might result from the semantic opaqueness of this PV.","Chen, H.H.-J.; Yang, C.T.-Y.; Wei, I.F.-F.; Jiang, A.",2015,10.6330/etl.2015.39.4.03,10.6330/etl.2015.39.4.03,English Teaching and Learning,Article,English for academic purposes; Phrasal verbs; Written academic English,English
SCOPUS_942,Scopus,Scopus,Cognitive Control Moderates the Association between Emotional Instability and Alcohol Dependence Symptoms,"Previous research has linked emotional instability with problematic alcohol use. This may be a function of increased ""hot"" information processing (which is relatively automatic in nature and highly influenced by emotional states) for individuals with more emotional instability. According to dual-process models, cognitive control may attenuate the impact of emotional instability by preventing an overreliance on hot information processing. It was hypothesized that emotional instability would be positively associated with alcohol-related consequences, but that cognitive control would moderate this association. Participants were undergraduate students (n = 80) who endorsed drinking at moderate levels. Participants completed laboratory assessments of emotional instability, alcohol use and its consequences, and cognitive control. An observed variable path model examined the association between emotional instability and alcohol problems. Consistent with hypotheses, emotional instability was positively associated with alcohol consequences, and this relationship was moderated by cognitive control, at least for dependence symptoms. At low levels of cognitive control, there was a positive association between emotional instability and dependence symptoms (β = 0.514, p ≤ .001), however, this association was attenuated and no longer significant at high levels of cognitive control (= 0.095, p = .302). Emotional instability may promote alcohol dependence via an overreliance on hot information processing. Consistent with dual-process theory, this relationship is diminished among individuals with more cognitive control. Interventions focusing on increasing cognitive control may be effective in reducing alcohol pathology associated with emotional instability. © 2015 American Psychological Association.","Stevenson, B.L.; Dvorak, R.D.; Kuvaas, N.J.; Williams, T.J.; Spaeth, D.T.",2015,10.1037/adb0000045,10.1037/adb0000045,Psychology of Addictive Behaviors,Review,alcohol dependence; cognitive control; dual-process models; emotional instability,English
SCOPUS_951,Scopus,Scopus,Dualisms in Higher Education: A Critique of Their Influence and Effect,"Dualisms pervade the language of higher education research providing an over-simplified roadmap to the field. However, the lazy logic of their popular appeal supports the perpetuation of erroneous and often outdated assumptions about the nature of modern higher education. This paper explores nine commonly occurring dualisms: collegiality/managerialism, student-centred/teacher-centred, deep learning/surface learning, academics/non-academics; research/teaching, old universities/new universities, liberal/vocational, public universities/private universities and higher education/further education. Illustrated by reference to a range of international contexts, it is argued that over-reliance on dualisms among higher education scholars has adverse effects including narrowing the possibilities of research design and inhibiting intellectual advancement within the field. © 2014 John Wiley & Sons Ltd.","Macfarlane, B.",2015,10.1111/hequ.12046,10.1111/hequ.12046,Higher Education Quarterly,Article,,English
SCOPUS_950,Scopus,Scopus,Guiding teaching with assessments: High school chemistry teachers' use of data-driven inquiry,"Data-driven inquiry (DDI) is the process by which teachers design and implement classroom assessments and use student results to inform/adjust teaching. Although much has been written about DDI, few details exist about how teachers conduct this process on a day-to-day basis in any specific subject area, let alone chemistry. Nineteen high school chemistry teachers participated in semi-structured interviews regarding how they used assessments to inform teaching. Results are reported for each step in the DDI process. Goals-there was a lack in specificity of learning and instructional goals and goals stated were not conducive to informing instruction. Evidence-at least once, all teachers determined student learning based solely on scores and/or subscores, suggesting an over-reliance on these measures. Conclusions-many teachers claimed that students either did or did not ""understand"" a topic, but the teachers did not adequately describe what this means. Actions-very few teachers listed a specific action as a result of analyzing student data, while the majority gave multiple broad pedagogical strategies to address content deficiencies. The results of this study show the limitations of teachers' DDI practices and inform how professional development on DDI should have a finer grain size and be based in disciplinary content. © 2015 The Royal Society of Chemistry.","Harshman, J.; Yezierski, E.",2015,10.1039/c4rp00188e,10.1039/c4rp00188e,Chemistry Education Research and Practice,Article,,English
SCOPUS_939,Scopus,Scopus,Improving EFL writing through study of semantic concepts in formulaic language,"Within Asian EFL contexts such as South Korea, large class sizes, poor sources of input and an overreliance on the Grammar-Translation Method may negatively impact semantic and pragmatic development of writing content. Since formulaic language is imbued with syntactic, semantic and pragmatic linguistic features, it represents an ideal means to evaluate the influence of Asian EFL contexts on writing. Thus, formulaic language within academic texts from Korean university students was compared to that found in essays written by American university students. Results revealed that Korean EFL learners overused transitions to define the organization of academic texts at the expense of developing content. Moreover, they used repetition, general lists, and all-purpose formulaic language to “pad” content, neglecting to consider semantic or pragmatic purposes of the text. In contrast to their Korean EFL counterparts, American university students used formulaic language for a variety of pragmatic purposes such as involving the reader, putting examples into a larger perspective, adding connotation, and addressing the perspective of the reader. It appears that EFL contexts such as South Korea require pedagogical and curricular reforms which foster the development of writing composition for semantic and pragmatic purposes. © 2014, Canadian Center of Science and Education. All rights reserved.","Schenck, A.; Choi, W.",2015,10.5539/elt.v8n1p142,10.5539/elt.v8n1p142,English Language Teaching,Article,Asia; EFL; Grammar-translation; Pragmatic; Semantic; South Korea; Writing,English
SCOPUS_940,Scopus,Scopus,Interpreting Data: The Hybrid Mind,"The central goal of this study was to characterize major patterns of reasoning exhibited by college chemistry students when analyzing and interpreting chemical data. Using a case study approach, we investigated how a representative student used chemical models to explain patterns in the data based on structure-property relationships. Our results elicited various reasoning challenges: undifferentiation of concepts, overreliance on surface explicit features, oversensitivity to contextual features, unconstrained application of ideas, hybridization of chemical and intuitive knowledge, and overreliance on nonmechanistic explanatory schemas. Our findings also revealed several affordances in student thinking: cognitive flexibility, responsiveness to probing and scaffolding, rich knowledge base, and pragmatism in the search for explanations. Our investigation provides insights into curriculum design and teaching and assessment strategies that can better leverage students' cognitive resources to scaffold learning. © 2015 The American Chemical Society and Division of Chemical Education, Inc.","Heisterkamp, K.; Talanquer, V.",2015,10.1021/acs.jchemed.5b00589,10.1021/acs.jchemed.5b00589,Journal of Chemical Education,Article,Chemical Education Research; First-Year Undergraduate/General; High School/Introductory Chemistry; Learning Theories; Misconceptions/Discrepant Events,English
SCOPUS_949,Scopus,Scopus,Robot vs. human teacher: Instruction in the digital age for ESL learners,"Living in the twenty-first century, life unplugged seems impossible without the Internet, mobile phones, i-products or other types of electronic gadgets for long. While language educators are overwhelmingly occupied with investigating the impact of computers and mobile learning, here is a call to address the value of face-to-face instruction in second language education. The key function of second language learning is to interact with one another in the target language. Younger generations are, however, becoming indulged in and even addicted to the technological tools without significant improvement in language competency and communication skills when compared with predecessors who have less accessibility of such tools that are so prevalent nowadays. The current empirical study explores the possibility of ‘avatar teacher’, alternatives to over-reliance on online tools, electronic gadgets and robot teachers, and limitations of technology on ESL education. Recommendations of innovative ways to engage learners with controlled amount of technology are made to language education professionals. © by the author(s).","Kwok, V.H.Y.",2015,10.5539/elt.v8n7p157,10.5539/elt.v8n7p157,English Language Teaching,Article,English as a Second Language (ESL) learners; Human teacher; Limitations; Robot teacher; Technology,English
SCOPUS_941,Scopus,Scopus,The limits of cultural competence: an Indigenous Studies perspective,"Taking the Universities Australia report, National best practice framework for Indigenous cultural competency in Australian universities (2011) as the starting point for its discussion, this paper examines the applicability of cultural competence in the design and delivery of Australian Indigenous Studies. It argues that both the conceptual underpinnings and the operationalisation of cultural competence necessitate an over-reliance on essentialised notions of Indigeneity, cast in radical opposition to non-Indigeneity, which negate multiple and diverse expressions of Indigenous identity and lived experience. Thus, this approach perpetuates the very colonialist logics Indigenous Studies should endeavour to overcome. Secondly, it argues that cultural competency's emphasis on non-Indigenous self-reflexivity, broadly consistent as it is with both scholarship and praxis in Indigenous Studies, is represented in some of the literature as uncritical deference to an always-unified Indigeneity, thereby exacerbating the original essentialising impulse evident in the cultural competence paradigm. Therefore, this paper proposes that Indigenous Studies should explore the limits of self-reflexivity, with a view to establishing a genuinely anti-colonial/decolonising praxis that incorporates the capacity to negotiate Indigenous intracultural diversity along with other markers for identity. © 2015 HERDSA.","Carey, M.",2015,10.1080/07294360.2015.1011097,10.1080/07294360.2015.1011097,Higher Education Research and Development,Article,cultural competence; curriculum design; diversity; identity; Indigenous Studies,English
SCOPUS_943,Scopus,Scopus,Women academics and research productivity: an international comparison,"In the prestige economy of higher education, research productivity is highly prized. Previous research indicates, however, a gender gap with respect to research output. This gap is often explained by reference to familial status and responsibilities. In this article, we examine the research productivity gender gap from an international perspective by undertaking a gendered analysis of the Changing Academic Profession Survey. We suggest that family is not, in all cases, operating as a form of negative equity in the prestige economy of higher education. In addition, we argue that an over-reliance on an explanatory framework that positions family-related variables as central to the research productivity gender gap might well be drawing our attention from significant structural and systemic discriminatory practices within the profession. © 2015, © 2015 Taylor & Francis.","Aiston, S.J.; Jung, J.",2015,10.1080/09540253.2015.1024617,10.1080/09540253.2015.1024617,Gender and Education,Article,academics; family; productivity; research; women,English
SCOPUS_932,Scopus,Scopus,Acquired severe disabilities and complex health care needs: Access to inclusive education,"This case study examined one high school student's access to inclusive education and experiences in an inclusive English class after he acquired severe disabilities and complex health care needs from a nontraumatic brain injury. Multiple sources of data (i.e., interviews, field notes, and documents) were collected and analyzed to formulate understanding of the unique particularities of this intrinsic, naturalistic case. Findings were organized into four major themes: (a) school reentry and adjustment, (b) communication access, (c) social inclusion, and (d) curricular access and assessment. Analysis of these major themes revealed that the focus student had minimal access to an inclusive education due to delayed school reentry, incomplete assessment data, and limited professional knowledge of acquired brain injuries and inclusive education. The student's experiences in the general education English classroom were predominantly characterized by limited access to communication and peer interactions, undefined learning priorities, and an overreliance on adult staff. Findings from this study suggest the need for additional research related to the prevalence of students with nontraumatic brain injury, supports needed by families and students post injury, professional training for school personnel, and the use of 1:1 paraprofessionals and nurses. © The Author(s) 2016.","Ballard, S.L.; Dymond, S.K.",2016,10.1177/1540796915621190,10.1177/1540796915621190,Research and Practice for Persons with Severe Disabilities,Article,Acquired brain injury; Complex health care needs; Inclusive education; Secondary education; Severe disabilities,English
